"","",""
"","",""
"LBK 3, X7 en X9","Aanzuigluchttemperatuur - 02-130TE01","Windheim_OS2_GRFMET_12"
"LBK 3, X7 en X9","Filter aanzuigkanaal - 02-130PDT01","Windheim_OS2_GRFMET_10"
"LBK 3, X7 en X9","Afzuigluchtklep sturing - Afzuigluchtklep - 02-130","Windheim_OS2_GRFSYS_18"
"LBK 3, X7 en X9","Overwerk (status) - Overwerk - 02-130KS01","Windheim_OS2_GRFSYS_3"
"LBK 3, X7 en X9","Ber.inblaastemperatuur bedrijf - Temperatuurregeli","Windheim_OS2_GRFSYS_23"
"LBK 3, X7 en X9","Gew.druk toevoerkanaal - Toerenreg. toevoervent. -","Windheim_OS2_GRFSYS_17"
"LBK 3, X7 en X9","Ruimtetemperatuur (meting) - Ruimtetemperatuur","Windheim_OS2_GRFSYS_21"
"LBK 3, X7 en X9","Afsluiter koeler percentage - Afsluiter koeler - 0","Windheim_OS2_GRFSYS_13"
"LBK 3, X7 en X9","Afsluiter verwarmer percentage - Afsluiter verwarm","Windheim_OS2_GRFSYS_11"
"LBK 3, X7 en X9","Circ.pomp verwarmer (status) - Circ.pomp verwarmer","Windheim_OS2_GRFSYS_12"
"LBK 3, X7 en X9","Toevoerluchtklep sturing - Toevoerluchtklep - 02-1","Windheim_OS2_GRFSYS_14"
"LBK 3, X7 en X9","Warmtewiel percentage - Warmtewiel - 02-130WW01","Windheim_OS2_GRFSYS_8"
"LBK 3, X7 en X9","Functie energieterugwinning - Warmtewiel - 02-130W","Windheim_OS2_GRFSYS_9"
"LBK 3, X7 en X9","Toerenreg. afzuigvent. regelaar percentage - Toere","Windheim_OS2_GRFSYS_20"
"LBK 3, X7 en X9","Afzuigventilator (status) - Afzuigventilator - 02-","Windheim_OS2_GRFSYS_19"
"LBK 3, X7 en X9","Toerenreg. toevoervent. regelaar percentage - Toer","Windheim_OS2_GRFSYS_16"
"LBK 3, X7 en X9","Toevoerventilator (status) - Toevoerventilator - 0","Windheim_OS2_GRFSYS_15"
"LBK 3, X7 en X9","Warmtewiel (status) - Warmtewiel - 02-130WW01","Windheim_OS2_GRFSYS_7"
"LBK 3, X7 en X9","PID warmtewiel als verwarmer berekende waarde - Wa","Windheim_OS2_GRFPID_1"
"LBK 3, X7 en X9","PID warmtewiel als koeler berekende waarde - Warmt","Windheim_OS2_GRFPID_2"
"","",""
"","",""
"LBK 4,X1,X3 en X5","Afzuigventilator (status) - Afzuigventilator - 03-","Windheim_OS3_GRFSYS_17"
"LBK 4,X1,X3 en X5","Toerenreg. afzuigvent. regelaar percentage - Toere","Windheim_OS3_GRFSYS_18"
"LBK 4,X1,X3 en X5","Afzuigluchtklep sturing - Afzuigluchtklep - 03-131","Windheim_OS3_GRFSYS_16"
"LBK 4,X1,X3 en X5","Ruimtetemperatuur (meting) - Ruimtetemperatuur","Windheim_OS3_GRFSYS_20"
"LBK 4,X1,X3 en X5","Overwerk (status) - Overwerk - 03-131KS01","Windheim_OS3_GRFSYS_4"
"LBK 4,X1,X3 en X5","Gew.druk toevoerkanaal - Toerenreg. toevoervent. -","Windheim_OS3_GRFSYS_15"
"LBK 4,X1,X3 en X5","Toerenreg. toevoervent. regelaar percentage - Toer","Windheim_OS3_GRFSYS_14"
"LBK 4,X1,X3 en X5","Toevoerventilator (status) - Toevoerventilator - 0","Windheim_OS3_GRFSYS_13"
"LBK 4,X1,X3 en X5","Afsluiter koeler percentage - Afsluiter koeler - 0","Windheim_OS3_GRFSYS_11"
"LBK 4,X1,X3 en X5","Afsluiter verwarmer percentage - Afsluiter verwarm","Windheim_OS3_GRFSYS_9"
"LBK 4,X1,X3 en X5","Circ.pomp verwarmer (status) - Circ.pomp verwarmer","Windheim_OS3_GRFSYS_10"
